hyg_id,name,code,x,y,3d_x,3d_y,3d_z,spectrum,absmag,colorindex,habitable,number_matches,type_matches,class_matches,complete,class,type
7358,BB Sculptoris,HIP 7372,120,131,18.76027,8.25627,-11.79114,K3V,5.2411884257,0.909,False,True,True,True,True,K,V
13048,BC Arietis,HIP 13081,464,120,14.79202,13.33628,10.17808,K1V,5.8120233493,0.82,False,True,True,True,True,K,V
1799,BE Ceti,HIP 1803,256,170,19.82717,1.98418,-4.31168,G3V,4.8431950586,0.659,False,True,True,True,True,G,V
13735,BEU 4,HIP 13769,764,134,16.68935,16.28925,-10.86244,K2V,5.7880727032,0.96,False,True,True,True,True,K,V
63052,BF Canum Venaticorum,HIP 63253,477,429,-14.31444,-3.68026,10.43594,M0VVAR,9.2824473229,1.423,False,True,True,True,True,M,V
45831,BF Lyncis,HIP 45963,586,527,-14.33046,11.76732,15.67087,K2V,5.7639589598,0.987,False,True,True,True,True,K,V
37243,BGH 3A,HIP 37349,598,287,-5.9872,12.84134,-0.89062,K2V,6.4190967365,0.891,False,True,True,True,True,K,V
101057,BLA 8,HIP 101382,299,561,10.23488,-12.99889,14.84326,G9V,5.3455799658,0.796,False,True,True,True,True,G,V
27141,BLL 16A,HIP 27207,569,51,0.99759,16.34041,12.46486,K0V,5.7731813463,0.833,True,True,True,True,True,K,V
38798,BM V 83,HIP 38910,706,261,-7.46712,13.22412,-10.2254,K5V,7.516758479,1.136,False,True,True,True,True,K,V
15333,BNU 2,HIP 15371,823,67,3.61779,4.24285,-10.71475,G1V,4.829889413,0.6,False,True,True,True,True,G,V
101529,BPM 95753,HIP 101856,234,593,21.73973,-26.27717,4.0218,K7V:,9.0209568532,1.457,True,True,True,True,True,K,V
117107,BR Piscium,HIP 117473,367,286,5.95791,-0.28099,0.25036,M2V,10.1002036931,1.46,False,True,True,True,True,M,V
119142,BSO 13B,Gl 666  B,66,578,-1.07439,-5.93635,-6.38821,M0 V,8.9709021167,1.41,False,True,True,True,True,M,V
55526,BSO 5AB,HIP 55691,822,3,-6.04876,0.93957,-11.3437,K7V+...,6.6687488763,1.271,True,True,True,True,True,K,V
